model,regime,directional_accuracy,sharpe_ratio,rmse,mae,r2_score,mape,max_drawdown,calmar_ratio,directional_accuracy_ci_lower,directional_accuracy_ci_upper,n_test
momentum,recovery_india,0.4948301329394387,-1.1933738329916816,0.021945120668242012,0.016948840834559525,-0.40157786588587463,2957.336740662875,-0.7337530765752766,-0.5636495384678817,0.4564254062038405,0.5317577548005908,677
pcmci_selected,covid_crash,0.4296875,-0.7014687289179009,0.05638489339583989,0.03994991534044897,-0.049590375782188056,2.9136374557542224,-0.7577227416694264,-0.9254390934965278,0.34375,0.515625,128
pcmci_selected,current_bull,0.5947521865889213,1.506033315915633,0.01607001159877169,0.01277013656378152,0.009062128416488568,785.4181021909101,-0.2970496514892119,2.4386356282562063,0.5393586005830904,0.641472303206997,343
pcmci_selected,gfc_recovery,0.4921190893169877,0.023632639930249343,0.03366986217261045,0.025795630122763535,-0.24626819697901325,4359.855319967949,-0.7874251655520699,0.13283938882344154,0.46322241681260945,0.521015761821366,1142
pcmci_selected,pre_demonetisation,0.5902964959568733,2.066857120345309,0.02133126767235927,0.016323636654831837,-0.014439881451457248,1361.003589640704,-0.5068417126266787,2.5420926943601185,0.5363881401617251,0.6415094339622641,371
pcmci_selected,rate_hike_rbi,0.49742268041237114,-0.231607791893375,0.021559814942258466,0.01711865303247733,-0.031162860565901118,16.368161442229336,-0.39769648579152844,-0.018313918670309442,0.4458118556701031,0.5489690721649485,388
pcmci_selected,recovery_covid,0.4851063829787234,1.1361550010522605,0.04094962772665221,0.023847149991065797,-0.12281632790550834,1.7156254342740829,-0.37343709079185644,2.621311165170744,0.425531914893617,0.5446808510638298,235
pcmci_selected,recovery_india,0.6070901033973413,1.0585694627248108,0.018853540678729942,0.01402928800342381,-0.03449198120377539,1300.7518730076933,-0.4004390204210762,1.4715256728075063,0.5701624815361891,0.6454948301329394,677
random,covid_crash,0.5078125,0.3703868706152961,0.05580561756290541,0.03892076628723384,-0.028135013667683673,2.2335948860664776,-0.4750039834212257,1.1125170686925525,,,128
random,current_bull,0.5247813411078717,0.6628714006002204,0.01857635768125649,0.014895265119796547,-0.32414387335056727,2918.6915099071743,-0.13617874375726796,2.4506900052643616,,,343
random,gfc_recovery,0.4991243432574431,-0.22328516183748656,0.03182629565251488,0.024217422663911532,-0.11352769006297847,3504.6530713389666,-0.7854081726816813,0.07643937297365819,,,1142
random,pre_demonetisation,0.49326145552560646,-0.9926752995210085,0.02415310155307482,0.018929663436629975,-0.30058517272121055,10784.431286062132,-0.3793325533562032,-0.34752155151736797,,,371
random,rate_hike_rbi,0.5103092783505154,-0.7147014185619229,0.023582417536678855,0.018401475608732367,-0.23371218455393716,2580.115327500915,-0.38909675240319685,-0.13316902837511127,,,388
random,recovery_covid,0.5148936170212766,1.0577237787099643,0.04062053521326265,0.023161094767699376,-0.10484177337324052,2.202653184664269,-0.4508082308785324,1.7689703149185618,,,235
random,recovery_india,0.4874446085672083,-0.9182975092934635,0.02134312477695146,0.016949014296277574,-0.3257367360075176,2957.3694258697337,-0.3758476931312725,-0.22677224362146536,,,677
